date,hour,entsoe,tge
2024-11-18,1,-5.01,-5.0
2024-11-18,2,37.97,37.92
2024-11-18,3,14.99,14.97
2024-11-18,4,-5.49,-5.48
2024-11-18,5,37.45,37.42
2024-11-18,6,147.87,147.68
2024-11-18,7,434.53,434.04
2024-11-18,8,468.48,467.96
2024-11-18,9,522.95,522.39
2024-11-18,10,451.98,451.5
2024-11-18,11,375.26,374.84
2024-11-18,12,349.64,349.24
2024-11-18,13,367.44,367.05
2024-11-18,14,464.9,464.4
2024-11-18,15,563.09,562.47
2024-11-18,16,631.9,631.2
2024-11-18,17,693.16,692.37
2024-11-18,18,774.71,773.84
2024-11-18,19,765.34,764.5
2024-11-18,20,717.26,716.47
2024-11-18,21,425.63,425.14
2024-11-18,22,433.1,432.63
2024-11-18,23,454.18,453.67
2024-11-18,24,362.65,362.24
2024-11-19,1,412.19,413.22
2024-11-19,2,410.46,411.48
2024-11-19,3,399.71,400.69
2024-11-19,4,403.66,404.64
2024-11-19,5,417.69,418.74
2024-11-19,6,417.6,418.64
2024-11-19,7,591.79,593.26
2024-11-19,8,665.57,667.24
2024-11-19,9,706.46,708.2
2024-11-19,10,674.36,676.04
2024-11-19,11,617.01,618.52
2024-11-19,12,658.64,660.25
2024-11-19,13,613.37,614.87
2024-11-19,14,592.62,594.08
2024-11-19,15,587.07,588.55
2024-11-19,16,591.79,593.26
2024-11-19,17,530.11,531.43
2024-11-19,18,532.58,533.9
2024-11-19,19,546.83,548.19
2024-11-19,20,532.27,533.58
2024-11-19,21,501.43,502.66
2024-11-19,22,411.11,412.1
2024-11-19,23,361.16,362.05
2024-11-19,24,340.02,340.85
2024-11-20,1,266.08,266.42
2024-11-20,2,220.09,220.39
2024-11-20,3,250.28,250.6
2024-11-20,4,324.2,324.62
2024-11-20,5,330.09,330.54
2024-11-20,6,413.42,413.98
2024-11-20,7,513.07,513.75
2024-11-20,8,596.91,597.72
2024-11-20,9,618.74,619.55
2024-11-20,10,608.78,609.58
2024-11-20,11,542.13,542.83
2024-11-20,12,525.37,526.08
2024-11-20,13,484.92,485.57
2024-11-20,14,503.76,504.42
2024-11-20,15,523.42,524.12
2024-11-20,16,601.33,602.12
2024-11-20,17,655.42,656.31
2024-11-20,18,665.56,666.45
2024-11-20,19,664.52,665.41
2024-11-20,20,642.78,643.62
2024-11-20,21,588.9,589.68
2024-11-20,22,543.52,544.23
2024-11-20,23,504.93,505.58
2024-11-20,24,448.24,448.83
2024-11-21,1,407.82,409.4
2024-11-21,2,392.37,393.91
2024-11-21,3,376.75,378.21
2024-11-21,4,365.24,366.66
2024-11-21,5,365.59,367.02
2024-11-21,6,413.29,414.9
2024-11-21,7,471.67,473.51
2024-11-21,8,515.38,517.39
2024-11-21,9,572.59,574.82
2024-11-21,10,585.87,588.12
2024-11-21,11,532.61,534.66
2024-11-21,12,485.3,487.18
2024-11-21,13,467.85,469.65
2024-11-21,14,513.43,515.43
2024-11-21,15,589.95,592.22
2024-11-21,16,730.62,733.43
2024-11-21,17,805.06,808.17
2024-11-21,18,770.94,773.94
2024-11-21,19,634.35,636.8
2024-11-21,20,644.03,646.53
2024-11-21,21,616.99,619.38
2024-11-21,22,543.2,545.32
2024-11-21,23,535.04,537.13
2024-11-21,24,466.94,468.75
2024-11-22,1,506.72,510.26
2024-11-22,2,463.94,467.17
2024-11-22,3,470.55,473.84
2024-11-22,4,477.59,480.95
2024-11-22,5,497.85,501.33
2024-11-22,6,527.02,530.71
2024-11-22,7,698.24,703.14
2024-11-22,8,747.36,752.6
2024-11-22,9,765.1,770.46
2024-11-22,10,708.15,713.1
2024-11-22,11,617.65,621.95
2024-11-22,12,613.83,618.11
2024-11-22,13,635.95,640.41
2024-11-22,14,660.25,664.88
2024-11-22,15,797.31,802.88
2024-11-22,16,910.33,916.71
2024-11-22,17,977.36,984.19
2024-11-22,18,800.35,805.94
2024-11-22,19,689.81,694.62
2024-11-22,20,656.6,661.2
2024-11-22,21,541.41,545.21
2024-11-22,22,477.38,480.71
2024-11-22,23,498.81,502.28
2024-11-22,24,429.95,432.95
2024-11-23,0,0.0,0.0
2024-11-23,1,0.0,0.0
2024-11-23,2,0.0,0.0
2024-11-23,3,0.0,0.0
2024-11-23,4,0.0,0.0
2024-11-23,5,0.0,0.0
2024-11-23,6,0.0,0.0
2024-11-23,7,0.0,0.0
2024-11-23,8,0.0,0.0
2024-11-23,9,0.0,0.0
2024-11-23,10,0.0,0.0
2024-11-23,11,0.0,0.0
2024-11-23,12,0.0,0.0
2024-11-23,13,0.0,0.0
2024-11-23,14,0.0,0.0
2024-11-23,15,0.0,0.0
2024-11-23,16,0.0,0.0
2024-11-23,17,0.0,0.0
2024-11-23,18,0.0,0.0
2024-11-23,19,0.0,0.0
2024-11-23,20,0.0,0.0
2024-11-23,21,0.0,0.0
2024-11-23,22,0.0,0.0
2024-11-23,23,0.0,0.0
2024-11-24,0,0.0,0.0
2024-11-24,1,0.0,0.0
2024-11-24,2,0.0,0.0
2024-11-24,3,0.0,0.0
2024-11-24,4,0.0,0.0
2024-11-24,5,0.0,0.0
2024-11-24,6,0.0,0.0
2024-11-24,7,0.0,0.0
2024-11-24,8,0.0,0.0
2024-11-24,9,0.0,0.0
2024-11-24,10,0.0,0.0
2024-11-24,11,0.0,0.0
2024-11-24,12,0.0,0.0
2024-11-24,13,0.0,0.0
2024-11-24,14,0.0,0.0
2024-11-24,15,0.0,0.0
2024-11-24,16,0.0,0.0
2024-11-24,17,0.0,0.0
2024-11-24,18,0.0,0.0
2024-11-24,19,0.0,0.0
2024-11-24,20,0.0,0.0
2024-11-24,21,0.0,0.0
2024-11-24,22,0.0,0.0
2024-11-24,23,0.0,0.0
