date,hour,entsoe,tge
2024-08-19,0,455.91,455.98
2024-08-19,1,414.2,414.26
2024-08-19,2,388.39,388.46
2024-08-19,3,388.73,388.82
2024-08-19,4,367.62,367.71
2024-08-19,5,396.55,396.62
2024-08-19,6,560.94,561.04
2024-08-19,7,658.63,658.74
2024-08-19,8,554.53,554.62
2024-08-19,9,481.08,481.15
2024-08-19,10,414.84,414.94
2024-08-19,11,385.61,385.66
2024-08-19,12,396.17,396.23
2024-08-19,13,407.92,408.01
2024-08-19,14,409.2,409.3
2024-08-19,15,400.14,400.23
2024-08-19,16,525.18,525.29
2024-08-19,17,597.48,597.6
2024-08-19,18,842.46,842.6
2024-08-19,19,1107.27,1107.46
2024-08-19,20,1341.4,1341.64
2024-08-19,21,814.77,814.93
2024-08-19,22,539.11,539.23
2024-08-19,23,429.2,429.3
2024-08-20,0,455.75,456.58
2024-08-20,1,409.38,410.13
2024-08-20,2,400.29,401.01
2024-08-20,3,403.83,404.54
2024-08-20,4,417.58,418.34
2024-08-20,5,461.47,462.29
2024-08-20,6,605.3,606.39
2024-08-20,7,570.25,571.28
2024-08-20,8,523.67,524.62
2024-08-20,9,438.03,438.81
2024-08-20,10,360.88,361.54
2024-08-20,11,362.25,362.89
2024-08-20,12,364.34,365.0
2024-08-20,13,363.66,364.32
2024-08-20,14,367.46,368.12
2024-08-20,15,378.6,379.29
2024-08-20,16,489.48,490.34
2024-08-20,17,590.61,591.66
2024-08-20,18,821.88,823.37
2024-08-20,19,1227.21,1229.43
2024-08-20,20,1371.64,1374.09
2024-08-20,21,813.73,815.21
2024-08-20,22,599.96,601.05
2024-08-20,23,466.25,467.08
