date,hour,entsoe,tge
2024-08-21,0,504.56,504.07
2024-08-21,1,424.35,423.97
2024-08-21,2,411.8,411.43
2024-08-21,3,419.18,418.79
2024-08-21,4,418.37,417.98
2024-08-21,5,453.32,452.91
2024-08-21,6,569.92,569.38
2024-08-21,7,606.61,606.03
2024-08-21,8,545.0,544.49
2024-08-21,9,549.99,549.48
2024-08-21,10,568.72,568.21
2024-08-21,11,501.31,500.85
2024-08-21,12,439.75,439.35
2024-08-21,13,446.79,446.38
2024-08-21,14,414.96,414.56
2024-08-21,15,391.07,390.7
2024-08-21,16,372.64,372.3
2024-08-21,17,370.5,370.16
2024-08-21,18,479.94,479.51
2024-08-21,19,616.17,615.58
2024-08-21,20,697.87,697.22
2024-08-21,21,591.64,591.1
2024-08-21,22,460.1,459.69
2024-08-21,23,391.24,390.87
2024-08-22,0,363.44,363.87
2024-08-22,1,350.06,350.48
2024-08-22,2,348.73,349.14
2024-08-22,3,350.62,351.04
2024-08-22,4,356.45,356.86
2024-08-22,5,380.25,380.71
2024-08-22,6,483.46,484.04
2024-08-22,7,577.84,578.52
2024-08-22,8,499.37,499.95
2024-08-22,9,348.65,349.06
2024-08-22,10,259.98,260.29
2024-08-22,11,271.94,272.28
2024-08-22,12,265.98,266.28
2024-08-22,13,291.02,291.35
2024-08-22,14,306.93,307.31
2024-08-22,15,350.24,350.67
2024-08-22,16,370.3,370.76
2024-08-22,17,458.38,458.93
2024-08-22,18,759.22,760.14
2024-08-22,19,979.91,981.09
2024-08-22,20,1164.51,1165.88
2024-08-22,21,754.88,755.78
2024-08-22,22,509.45,510.05
2024-08-22,23,389.98,390.43
2024-08-23,0,0.0,0.0
2024-08-23,1,0.0,0.0
2024-08-23,2,0.0,0.0
2024-08-23,3,0.0,0.0
2024-08-23,4,0.0,0.0
2024-08-23,5,0.0,0.0
2024-08-23,6,0.0,0.0
2024-08-23,7,0.0,0.0
2024-08-23,8,0.0,0.0
2024-08-23,9,0.0,0.0
2024-08-23,10,0.0,0.0
2024-08-23,11,0.0,0.0
2024-08-23,12,0.0,0.0
2024-08-23,13,0.0,0.0
2024-08-23,14,0.0,0.0
2024-08-23,15,0.0,0.0
2024-08-23,16,0.0,0.0
2024-08-23,17,0.0,0.0
2024-08-23,18,0.0,0.0
2024-08-23,19,0.0,0.0
2024-08-23,20,0.0,0.0
2024-08-23,21,0.0,0.0
2024-08-23,22,0.0,0.0
2024-08-23,23,0.0,0.0
