date,hour,entsoe,tge
2024-08-22,0,363.44,363.87
2024-08-22,1,350.06,350.48
2024-08-22,2,348.73,349.14
2024-08-22,3,350.62,351.04
2024-08-22,4,356.45,356.86
2024-08-22,5,380.25,380.71
2024-08-22,6,483.46,484.04
2024-08-22,7,577.84,578.52
2024-08-22,8,499.37,499.95
2024-08-22,9,348.65,349.06
2024-08-22,10,259.98,260.29
2024-08-22,11,271.94,272.28
2024-08-22,12,265.98,266.28
2024-08-22,13,291.02,291.35
2024-08-22,14,306.93,307.31
2024-08-22,15,350.24,350.67
2024-08-22,16,370.3,370.76
2024-08-22,17,458.38,458.93
2024-08-22,18,759.22,760.14
2024-08-22,19,979.91,981.09
2024-08-22,20,1164.51,1165.88
2024-08-22,21,754.88,755.78
2024-08-22,22,509.45,510.05
2024-08-22,23,389.98,390.43
2024-08-23,0,468.35,467.64
2024-08-23,1,410.2,409.58
2024-08-23,2,400.99,400.4
2024-08-23,3,402.1,401.51
2024-08-23,4,400.78,400.16
2024-08-23,5,423.7,423.04
2024-08-23,6,590.82,589.9
2024-08-23,7,528.9,528.1
2024-08-23,8,423.23,422.59
2024-08-23,9,364.87,364.31
2024-08-23,10,220.12,219.8
2024-08-23,11,90.76,90.61
2024-08-23,12,9.04,9.05
2024-08-23,13,-26.65,-26.62
2024-08-23,14,-53.86,-53.8
2024-08-23,15,7.16,7.15
2024-08-23,16,306.12,305.64
2024-08-23,17,415.0,414.39
2024-08-23,18,527.27,526.49
2024-08-23,19,685.81,684.75
2024-08-23,20,701.15,700.09
2024-08-23,21,568.02,567.15
2024-08-23,22,526.16,525.35
2024-08-23,23,406.05,405.42
2024-08-24,0,488.98,489.34
2024-08-24,1,454.29,454.61
2024-08-24,2,449.07,449.4
2024-08-24,3,449.54,449.86
2024-08-24,4,475.98,476.3
2024-08-24,5,490.18,490.54
2024-08-24,6,501.08,501.43
2024-08-24,7,503.6,503.96
2024-08-24,8,460.07,460.39
2024-08-24,9,230.91,231.07
2024-08-24,10,-0.98,-0.98
2024-08-24,11,-32.8,-32.82
2024-08-24,12,-89.94,-90.02
2024-08-24,13,-125.44,-125.55
2024-08-24,14,-9.62,-9.65
2024-08-24,15,75.44,75.49
2024-08-24,16,356.27,356.51
2024-08-24,17,617.63,618.08
2024-08-24,18,871.67,872.3
2024-08-24,19,929.46,930.13
2024-08-24,20,865.35,865.95
2024-08-24,21,600.65,601.07
2024-08-24,22,491.24,491.58
2024-08-24,23,363.71,363.95
2024-08-25,0,0.0,0.0
2024-08-25,1,0.0,0.0
2024-08-25,2,0.0,0.0
2024-08-25,3,0.0,0.0
2024-08-25,4,0.0,0.0
2024-08-25,5,0.0,0.0
2024-08-25,6,0.0,0.0
2024-08-25,7,0.0,0.0
2024-08-25,8,0.0,0.0
2024-08-25,9,0.0,0.0
2024-08-25,10,0.0,0.0
2024-08-25,11,0.0,0.0
2024-08-25,12,0.0,0.0
2024-08-25,13,0.0,0.0
2024-08-25,14,0.0,0.0
2024-08-25,15,0.0,0.0
2024-08-25,16,0.0,0.0
2024-08-25,17,0.0,0.0
2024-08-25,18,0.0,0.0
2024-08-25,19,0.0,0.0
2024-08-25,20,0.0,0.0
2024-08-25,21,0.0,0.0
2024-08-25,22,0.0,0.0
2024-08-25,23,0.0,0.0
