date,hour,entsoe,tge
2024-11-04,0,400.65,401.38
2024-11-04,1,391.6,392.33
2024-11-04,2,392.07,392.8
2024-11-04,3,389.51,390.22
2024-11-04,4,393.64,394.39
2024-11-04,5,429.55,430.33
2024-11-04,6,545.08,546.09
2024-11-04,7,638.24,639.4
2024-11-04,8,601.54,602.67
2024-11-04,9,525.97,526.95
2024-11-04,10,435.26,436.04
2024-11-04,11,420.85,421.63
2024-11-04,12,412.58,413.34
2024-11-04,13,426.38,427.17
2024-11-04,14,448.45,449.29
2024-11-04,15,638.02,639.2
2024-11-04,16,1204.65,1206.87
2024-11-04,17,1513.32,1516.08
2024-11-04,18,1218.45,1220.68
2024-11-04,19,1000.36,1002.19
2024-11-04,20,783.76,785.18
2024-11-04,21,559.93,560.96
2024-11-04,22,470.91,471.77
2024-11-04,23,426.33,427.12
2024-11-05,0,441.9,442.68
2024-11-05,1,408.36,409.08
2024-11-05,2,396.59,397.3
2024-11-05,3,405.67,406.38
2024-11-05,4,415.88,416.63
2024-11-05,5,456.89,457.68
2024-11-05,6,548.64,549.61
2024-11-05,7,641.74,642.88
2024-11-05,8,568.45,569.44
2024-11-05,9,480.31,481.15
2024-11-05,10,459.71,460.52
2024-11-05,11,413.4,414.13
2024-11-05,12,411.97,412.72
2024-11-05,13,431.17,431.94
2024-11-05,14,478.87,479.74
2024-11-05,15,675.28,676.47
2024-11-05,16,1399.04,1401.52
2024-11-05,17,1849.72,1853.01
2024-11-05,18,1758.66,1761.76
2024-11-05,19,1349.08,1351.47
2024-11-05,20,758.08,759.42
2024-11-05,21,570.58,571.6
2024-11-05,22,511.63,512.54
2024-11-05,23,478.0,478.83
2024-11-06,0,462.89,463.55
2024-11-06,1,431.93,432.54
2024-11-06,2,416.36,416.98
2024-11-06,3,424.08,424.7
2024-11-06,4,439.6,440.25
2024-11-06,5,478.41,479.08
2024-11-06,6,698.67,699.68
2024-11-06,7,1206.69,1208.43
2024-11-06,8,750.43,751.53
2024-11-06,9,446.62,447.26
2024-11-06,10,453.73,454.39
2024-11-06,11,487.83,488.52
2024-11-06,12,487.96,488.66
2024-11-06,13,422.42,423.02
2024-11-06,14,503.84,504.57
2024-11-06,15,1139.93,1141.58
2024-11-06,16,1998.38,2001.24
2024-11-06,17,2748.07,2752.06
2024-11-06,18,2239.18,2242.39
2024-11-06,19,1894.07,1896.8
2024-11-06,20,886.4,887.69
2024-11-06,21,579.58,580.44
2024-11-06,22,519.32,520.05
2024-11-06,23,486.7,487.38
2024-11-07,0,479.23,479.88
2024-11-07,1,450.37,450.96
2024-11-07,2,436.01,436.59
2024-11-07,3,437.06,437.62
2024-11-07,4,450.2,450.82
2024-11-07,5,508.36,509.03
2024-11-07,6,671.39,672.28
2024-11-07,7,934.06,935.31
2024-11-07,8,822.2,823.27
2024-11-07,9,621.75,622.56
2024-11-07,10,544.99,545.72
2024-11-07,11,556.43,557.18
2024-11-07,12,559.79,560.52
2024-11-07,13,576.34,577.12
2024-11-07,14,604.24,605.06
2024-11-07,15,856.6,857.76
2024-11-07,16,1118.18,1119.66
2024-11-07,17,1733.47,1735.76
2024-11-07,18,1271.04,1272.71
2024-11-07,19,781.68,782.72
2024-11-07,20,753.43,754.44
2024-11-07,21,554.25,555.0
2024-11-07,22,515.87,516.57
2024-11-07,23,463.25,463.85
2024-11-08,0,488.12,488.58
2024-11-08,1,445.78,446.18
2024-11-08,2,433.48,433.86
2024-11-08,3,431.53,431.92
2024-11-08,4,453.64,454.03
2024-11-08,5,510.75,511.22
2024-11-08,6,800.95,801.69
2024-11-08,7,839.65,840.42
2024-11-08,8,633.88,634.44
2024-11-08,9,549.75,550.25
2024-11-08,10,509.62,510.08
2024-11-08,11,481.82,482.26
2024-11-08,12,458.59,459.01
2024-11-08,13,463.89,464.29
2024-11-08,14,518.39,518.88
2024-11-08,15,541.8,542.29
2024-11-08,16,630.62,631.18
2024-11-08,17,640.35,640.93
2024-11-08,18,611.55,612.08
2024-11-08,19,589.23,589.76
2024-11-08,20,495.55,496.01
2024-11-08,21,460.67,461.08
2024-11-08,22,490.77,491.21
2024-11-08,23,451.94,452.35
2024-11-09,0,0.0,0.0
2024-11-09,1,0.0,0.0
2024-11-09,2,0.0,0.0
2024-11-09,3,0.0,0.0
2024-11-09,4,0.0,0.0
2024-11-09,5,0.0,0.0
2024-11-09,6,0.0,0.0
2024-11-09,7,0.0,0.0
2024-11-09,8,0.0,0.0
2024-11-09,9,0.0,0.0
2024-11-09,10,0.0,0.0
2024-11-09,11,0.0,0.0
2024-11-09,12,0.0,0.0
2024-11-09,13,0.0,0.0
2024-11-09,14,0.0,0.0
2024-11-09,15,0.0,0.0
2024-11-09,16,0.0,0.0
2024-11-09,17,0.0,0.0
2024-11-09,18,0.0,0.0
2024-11-09,19,0.0,0.0
2024-11-09,20,0.0,0.0
2024-11-09,21,0.0,0.0
2024-11-09,22,0.0,0.0
2024-11-09,23,0.0,0.0
